#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Sun Oct  6 02:08:03 EDT 2019.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20191001,-73.1,45.4,7
20191001,-72.9,45.4,2
20191001,-99.4,40.5,6
20191001,-99.3,40.5,3
20191001,-99.2,40.5,5
20191001,-99.1,40.5,1
20191001,-98.6,40.5,7
20191001,-98.5,40.5,24
20191001,-98.4,40.5,15
20191001,-98.3,40.5,5
20191001,-98.2,40.5,1
20191001,-97.3,40.5,1
20191001,-97.2,40.5,5
20191001,-97.1,40.5,4
20191001,-96.9,40.5,1
20191001,-96.8,40.5,5
20191001,-96.7,40.5,2
20191001,-96.5,40.5,1
20191001,-96.4,40.5,1
20191001,-96.3,40.5,2
20191001,-96.2,40.5,5
20191001,-96.1,40.5,3
20191001,-95.9,40.5,2
20191001,-95.8,40.5,8
20191001,-95.7,40.5,5
20191001,-95.6,40.5,3
20191001,-95.5,40.5,1
20191001,-95.3,40.5,3
20191001,-95.2,40.5,1
20191001,-95.1,40.5,6
20191001,-94.9,40.5,4
20191001,-94.8,40.5,4
20191001,-94.7,40.5,2
20191001,-101.3,40.5,1
20191001,-101.2,40.5,9
20191001,-101.1,40.5,3
20191001,-100.9,40.5,4
20191001,-100.8,40.5,1
20191001,-100.7,40.5,1
20191001,-100.6,40.5,4
20191001,-100.5,40.5,3
20191001,-99,40.6,4
20191001,-98,40.6,4
20191001,-97,40.6,3
20191001,-96,40.6,8
20191001,-95,40.6,5
20191001,-101,40.6,1
20191001,-99.8,40.6,1
20191001,-99.4,40.6,7
20191001,-99.3,40.6,15
20191001,-99.2,40.6,12
20191001,-99.1,40.6,9
20191001,-98.9,40.6,2
20191001,-98.8,40.6,1
20191001,-98.5,40.6,1
20191001,-98.4,40.6,2
20191001,-98.3,40.6,7
20191001,-98.2,40.6,2
20191001,-98.1,40.6,1
20191001,-97.9,40.6,6
20191001,-97.8,40.6,1
20191001,-97.2,40.6,1
20191001,-97.1,40.6,2
20191001,-96.9,40.6,1
20191001,-96.4,40.6,1
20191001,-96.2,40.6,1
20191001,-96.8,40.3,1
20191001,-96.7,40.3,2
20191001,-96.6,40.3,4
20191001,-96.5,40.3,6
20191001,-96.4,40.3,8
20191001,-96.3,40.3,7
20191001,-96.2,40.3,4
20191001,-96.1,40.3,8
20191001,-95.9,40.3,4
20191001,-95.8,40.3,4
20191001,-95.7,40.3,4
20191001,-95.6,40.3,1
20191001,-95.3,40.3,1
20191001,-95.2,40.3,4
20191001,-95.1,40.3,21
20191001,-101.6,40.3,1
20191001,-101.4,40.3,2
20191001,-101.2,40.3,3
20191001,-101.1,40.3,1
20191001,-100.9,40.3,1
20191001,-100.7,40.3,2
20191001,-96,40.4,7
20191001,-101,40.4,2
20191001,-99.8,40.4,2
20191001,-99.7,40.4,2
20191001,-99.6,40.4,1
20191001,-99.5,40.4,7
20191001,-99.4,40.4,3
20191001,-98.7,40.4,1
20191001,-98.6,40.4,8
20191001,-98.5,40.4,15
20191001,-98.4,40.4,8
20191001,-98.3,40.4,1
20191001,-97.7,40.4,2
20191001,-97.4,40.4,1
20191001,-97.3,40.4,5
20191001,-97.2,40.4,4
20191001,-97.1,40.4,1
20191001,-96.9,40.4,1
20191001,-96.8,40.4,4
20191001,-96.7,40.4,2
20191001,-96.4,40.4,5
20191001,-96.3,40.4,4
20191001,-96.2,40.4,4
20191001,-96.1,40.4,1
20191001,-95.9,40.4,3
20191001,-95.8,40.4,2
20191001,-95.7,40.4,2
20191001,-95.6,40.4,1
20191001,-101.3,40.4,4
20191001,-101.2,40.4,1
20191001,-101.1,40.4,2
20191001,-100.8,40.4,1
20191001,-100.7,40.4,4
20191001,-100.6,40.4,2
20191001,-100,40.5,1
20191001,-97,40.5,3
20191001,-96,40.5,6
20191001,-95,40.5,6
20191001,-101,40.5,4
20191001,-99.9,40.5,1
20191001,-99.7,40.5,2
20191001,-99.6,40.5,5
20191001,-99.5,40.5,2
20191001,-96.3,40.1,1
20191001,-96.2,40.1,5
20191001,-96.1,40.1,10
20191001,-95.9,40.1,1
20191001,-95.8,40.1,5
20191001,-95.7,40.1,5
20191001,-95.6,40.1,20
20191001,-95.5,40.1,28
20191001,-95.4,40.1,7
20191001,-95.3,40.1,4
20191001,-95.2,40.1,2
20191001,-95.1,40.1,1
20191001,-101.7,40.1,1
20191001,-101.2,40.1,4
20191001,-101.1,40.1,1
20191001,-98,40.2,2
20191001,-97,40.2,1
20191001,-96,40.2,9
20191001,-95,40.2,5
20191001,-98.6,40.2,1
20191001,-98.5,40.2,1
20191001,-98.4,40.2,1
20191001,-98.1,40.2,1
20191001,-97.9,40.2,2
20191001,-97.8,40.2,1
20191001,-97.5,40.2,1
20191001,-97.4,40.2,3
20191001,-97.3,40.2,2
20191001,-97.2,40.2,2
20191001,-97.1,40.2,2
20191001,-96.9,40.2,2
20191001,-96.8,40.2,2
20191001,-96.7,40.2,7
20191001,-96.6,40.2,4
20191001,-96.5,40.2,5
20191001,-96.4,40.2,5
20191001,-96.3,40.2,5
20191001,-96.2,40.2,2
20191001,-96.1,40.2,5
20191001,-95.9,40.2,1
20191001,-95.8,40.2,7
20191001,-95.7,40.2,4
20191001,-95.6,40.2,1
20191001,-95.5,40.2,6
20191001,-95.4,40.2,20
20191001,-95.3,40.2,38
20191001,-95.2,40.2,44
20191001,-95.1,40.2,36
20191001,-101.5,40.2,1
20191001,-101.2,40.2,3
20191001,-101.1,40.2,2
20191001,-95,40.3,4
20191001,-99.7,40.3,5
20191001,-99.6,40.3,1
20191001,-98.4,40.3,1
20191001,-98.2,40.3,3
20191001,-97.9,40.3,1
20191001,-97.7,40.3,1
20191001,-97.6,40.3,1
20191001,-97.5,40.3,1
20191001,-97.4,40.3,3
20191001,-97.3,40.3,6
20191001,-97.2,40.3,3
20191001,-97.1,40.3,1
20191001,-96.4,39.7,3
20191001,-101.1,39.7,2
20191001,-100.9,39.7,1
20191001,-100.8,39.7,1
20191001,-100.7,39.7,1
20191001,-98,39.8,3
20191001,-98.8,39.8,4
20191001,-98.7,39.8,5
20191001,-98.4,39.8,3
20191001,-98.3,39.8,3
20191001,-98.1,39.8,6
20191001,-97.9,39.8,6
20191001,-97.8,39.8,1
20191001,-97.7,39.8,5
20191001,-97.6,39.8,3
20191001,-97.5,39.8,3
20191001,-97.4,39.8,3
20191001,-97.3,39.8,3
20191001,-97.2,39.8,6
20191001,-97.1,39.8,1
20191001,-96.9,39.8,1
20191001,-96.5,39.8,2
20191001,-96.4,39.8,3
20191001,-96.2,39.8,1
20191001,-100.8,39.8,1
20191001,-98,39.9,2
20191001,-97,39.9,1
20191001,-99.3,39.9,1
20191001,-98.6,39.9,1
20191001,-98.4,39.9,2
20191001,-98.3,39.9,1
20191001,-98.2,39.9,4
20191001,-97.9,39.9,4
20191001,-97.8,39.9,5
20191001,-97.7,39.9,4
20191001,-97.6,39.9,3
20191001,-97.5,39.9,3
20191001,-97.3,39.9,1
20191001,-97.2,39.9,4
20191001,-97.1,39.9,2
20191001,-96.9,39.9,2
20191001,-96.8,39.9,2
20191001,-96.5,39.9,1
20191001,-96.4,39.9,1
20191001,-96.3,39.9,1
20191001,-102.1,39.9,1
20191001,-100.7,39.9,2
20191001,-98,40.1,1
20191001,-97,40.1,4
20191001,-96,40.1,10
20191001,-98.4,40.1,1
20191001,-98.3,40.1,1
20191001,-97.8,40.1,5
20191001,-97.7,40.1,4
20191001,-97.6,40.1,3
20191001,-97.5,40.1,4
20191001,-97.4,40.1,2
20191001,-97.3,40.1,1
20191001,-97.1,40.1,1
20191001,-96.8,40.1,2
20191001,-96.7,40.1,4
20191001,-96.6,40.1,4
20191001,-96.5,40.1,7
20191001,-96.4,40.1,2
20191001,-103.7,26,1
20191001,-76.4,27,1
20191001,-106.8,27,1
20191001,-106.5,27,20
20191001,-106.4,27,8
20191001,-106.3,27,1
20191001,-107,28,2
20191001,-71.6,28,1
20191001,-108.7,28,1
20191001,-108.6,28,1
20191001,-107.3,28,4
20191001,-107.2,28,10
20191001,-107.1,28,4
20191001,-106.9,28,2
20191001,-106.7,28,3
20191001,-106.6,28,23
20191001,-107,29,1
20191001,-107.5,29,2
20191001,-107.4,29,2
20191001,-107.3,29,2
20191001,-107.2,29,2
20191001,-107.1,29,4
20191001,-106.4,29,1
20191001,-105.4,29,1
20191001,-105.3,29,1
20191001,-80.5,30,1
20191001,-80.4,30,1
20191001,-106.9,30,1
20191001,-106.6,30,3
20191001,-106.5,30,9
20191001,-106.4,30,2
20191001,-106.3,30,11
20191001,-106.2,30,4
20191001,-106.1,30,2
20191001,-105.4,30,1
20191001,-105.2,30,1
20191001,-106,31,2
20191001,-97.3,39.6,1
20191001,-96.4,39.6,1
20191001,-96.2,39.6,1
20191001,-101.1,39.6,1
20191001,-99,39.7,1
20191001,-98,39.7,5
20191001,-97,39.7,2
20191001,-99.4,39.7,1
20191001,-98.8,39.7,3
20191001,-98.6,39.7,1
20191001,-98.5,39.7,5
20191001,-98.4,39.7,10
20191001,-98.3,39.7,2
20191001,-98.2,39.7,6
20191001,-98.1,39.7,1
20191001,-97.9,39.7,4
20191001,-97.8,39.7,6
20191001,-97.7,39.7,6
20191001,-97.6,39.7,2
20191001,-97.5,39.7,9
20191001,-97.4,39.7,10
20191001,-97.3,39.7,2
20191001,-97.2,39.7,2
20191001,-97.1,39.7,1
20191001,-96.7,39.7,1
20191001,-96.6,39.7,1
20191001,-96.5,39.7,1
20191001,-81.1,22,4
20191001,-80.9,22,1
20191001,-80.8,22,8
20191001,-80.7,22,28
20191001,-80.6,22,20
20191001,-80.5,22,9
20191001,-80.3,22,1
20191001,-79.9,22,4
20191001,-79.8,22,5
20191001,-79.6,22,4
20191001,-79.5,22,1
20191001,-78.9,22,1
20191001,-76.7,22,1
20191001,-76.2,22,22
20191001,-76.1,22,2
20191001,-102.9,22,1
